Index,Title,Description,Year,Movie Suitability,Category,Minutes,Rating,Votes,Director,Stars,Gross
169,All About Eve,"
    A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.",1950,Passed,"
Drama            ",138 min,8.2,"122,389",Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",$0.01M
170,The Treasure of the Sierra Madre,"
    Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",1948,Passed,"
Adventure, Drama, Western            ",126 min,8.2,"115,989",John Huston,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt', 'Bruce Bennett']",$5.01M
171,To Be or Not to Be,"
    During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",1942,Passed,"
Comedy, Romance, War            ",99 min,8.2,"31,350",Ernst Lubitsch,"['Carole Lombard', 'Jack Benny', 'Robert Stack', 'Felix Bressart']","31,350"
172,The Gold Rush,"
    A prospector goes to the Klondike in search of gold and finds it and more.",1925,Passed,"
Adventure, Comedy, Drama            ",95 min,8.2,"103,025",Charles Chaplin,"['Charles Chaplin', 'Mack Swain', 'Tom Murray', 'Henry Bergman']",$5.45M
173,Sherlock Jr.,"
    A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",1924,Passed,"
Action, Comedy, Romance            ",45 min,8.2,"43,468",Buster Keaton,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly']",$0.98M
174,Portrait of a Lady on Fire,"
    On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",2019,R,"
Drama, Romance            ",122 min,8.1,"70,245",Céline Sciamma,"['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino']",$3.76M
175,A Silent Voice: The Movie,"
    A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",2016,Not Rated,"
Animation, Drama, Family            ",130 min,8.1,"53,286",Naoko Yamada,"['Miyu Irino', 'Saori Hayami', 'Aoi Yûki', 'Kenshô Ono']","53,286"
176,"Three Billboards Outside Ebbing, Missouri","
    A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.",2017,R,"
Comedy, Crime, Drama            ",115 min,8.1,"447,375",Martin McDonagh,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Caleb Landry Jones']",$54.51M
177,The Invisible Guest,"
    A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.",2016,TV-MA,"
Crime, Drama, Mystery            ",106 min,8.1,"150,982",Oriol Paulo,"['Mario Casas', 'Ana Wagener', 'Jose Coronado', 'Bárbara Lennie']","150,982"
178,The Handmaiden,"
    A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",2016,Not Rated,"
Drama, Romance, Thriller            ",145 min,8.1,"119,636",Chan-wook Park,"['Kim Min-hee', 'Jung-woo Ha', 'Cho Jin-woong', 'Moon So-ri']",$2.01M
179,Logan,"
    In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",2017,R,"
Action, Drama, Sci-Fi            ",137 min,8.1,"663,274",James Mangold,"['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen', 'Boyd Holbrook']",$226.28M
180,Room,"
    Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",I 2015,R,"
Drama, Thriller            ",118 min,8.1,"380,458",Lenny Abrahamson,"['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers', 'Wendy Crewson']",$14.68M
181,Wild Tales,"
    Six short stories that explore the extremities of human behavior involving people in distress.",2014,R,"
Comedy, Drama, Thriller            ",122 min,8.1,"181,385",Damián Szifron,"['Darío Grandinetti', 'María Marull', 'Mónica Villa', 'Diego Starosta']",$3.11M
182,Soul,"
    After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",2020,PG,"
Animation, Adventure, Comedy            ",100 min,8.1,"233,748",Pete Docter,"['Jamie Foxx', 'Tina Fey', 'Graham Norton', 'Rachel House']","233,748"
183,The Grand Budapest Hotel,"
    A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",2014,R,"
Adventure, Comedy, Crime            ",99 min,8.1,"724,319",Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody']",$59.10M
184,Gone Girl,"
    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",2014,R,"
Drama, Mystery, Thriller            ",149 min,8.1,"879,590",David Fincher,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry']",$167.77M
